Classifier,Accuracy,Precision,Recall,F1
RoBERTa,0.97,0.95,0.87,0.92
DistilRoBERTa,0.96,0.9,0.82,0.86
Feed forward NN,0.9,0.78,0.5,0.61
Logistic regression,0.83,0.46,0.77,0.58
QDA,0.84,0.45,0.28,0.34
Bagging,0.85,0.66,0.07,0.13
Random Forest,0.85,1,0.02,0.03
QDA,0.27,0.15,0.83,0.26
Bagging,0.82,0.15,0.03,0.06
Feed forward NN,0.84,0.22,0.01,0.03
Logistic regression,0.84,0.07,0.01,0.01
Random Forest,0.84,0,0,0
QDA,0.23,0.15,0.83,0.25
Bagging,0.83,0.13,0.02,0.04
Feed forward NN,0.84,0.24,0.02,0.03
Logistic regression,0.84,0.06,0,0
Random Forest,0.84,0,0,0
