 ,Assessment,Case notes,Either,Both,CES-D,UCLA
Dressing,0.048 *,0.047 *,0.254,0.001 ***,0.398,0.099 .
Ethnicity,0.688,0.635,0.655,0.619,0.606,0.526
Lives alone,0.027 *,0.013 *,0.033 *,0.003 **,<0.001 ***,<0.001 ***
Meals,0.471,0.154,0.59,0.066 .,<0.001 ***,<0.001 ***
Memory,<0.001 ***,<0.001 ***,<0.001 ***,<0.001 ***,0.462,0.605
Mobility,0.02 *,<0.001 ***,0.071 .,<0.001 ***,0.509,0.016 *
Safety & risk,0.284,0.126,0.869,0.477,0.737,0.624
Sex (F),0.188,0.896,0.814,0.278,0.262,0.181
Shopping,0.062 .,0.878,0.473,0.25,<0.001 ***,<0.001 ***
Toileting,0.68,0.001 ***,0.467,0.013 *,0.046 *,0.002 **
Unpaid care,0.726,0.258,0.689,0.657,<0.001 ***,<0.001 ***
Age,1.01 (0.99-1.02),1.01 (1.00-1.03),1.01 (1.00-1.02),1.01 (1.00-1.03),1.01 (0.99-1.03),1.00 (0.99-1.02)
Dressing,0.87 (0.78-0.97) **,0.91 (0.82-1.01) .,0.88 (0.79-0.99) *,0.87 (0.78-0.97) *,0.88 (0.62-1.23),0.92 (0.66-1.28)
Ethnicity,0.96 (0.76-1.23),0.98 (0.77-1.24),0.99 (0.77-1.27),0.95 (0.72-1.23),1.60 (0.47-5.34),1.33 (0.36-5.05)
Lives alone,1.37 (1.08-1.75) **,1.38 (1.09-1.76) **,1.52 (1.18-1.95) ***,1.39 (1.06-1.82) *,6.12 (4.36-8.70) ***,3.57 (2.62-4.90) ***
Meals,1.02 (0.90-1.16),1.09 (0.96-1.23),1.09 (0.95-1.24),1.04 (0.91-1.19),1.36 (0.89-2.07),1.31 (0.86-1.99)
Memory,1.40 (1.25-1.57) ***,1.40 (1.25-1.57) ***,1.50 (1.33-1.70) ***,1.47 (1.30-1.67) ***,1.14 (0.47-2.71),0.65 (0.26-1.57)
Mobility,0.89 (0.81-0.99) *,0.99 (0.90-1.10),1.01 (0.90-1.13),0.85 (0.76-0.96) **,0.86 (0.56-1.32),1.19 (0.79-1.80)
Safety & risk,1.03 (0.92-1.15),0.94 (0.84-1.05),1.00 (0.89-1.12),0.96 (0.85-1.09),1.35 (0.55-3.26),1.17 (0.48-2.85)
Sex (F),1.15 (0.91-1.45),0.89 (0.70-1.12),0.97 (0.76-1.24),1.06 (0.82-1.37),0.92 (0.66-1.27),0.99 (0.72-1.35)
Shopping,1.09 (0.93-1.28),1.02 (0.88-1.20),1.06 (0.90-1.24),1.07 (0.90-1.28),1.61 (1.13-2.29) **,1.45 (1.03-2.05) *
Toileting,1.04 (0.95-1.15),0.88 (0.80-0.97) *,0.93 (0.84-1.03),0.97 (0.87-1.08),1.25 (0.79-1.97),1.46 (0.94-2.26) .
Unpaid care,1.01 (0.78-1.30),0.88 (0.68-1.14),0.94 (0.71-1.23),0.92 (0.70-1.23),1.84 (1.08-3.19) *,2.22 (1.27-3.98) **
